Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB
279.0,Anthony Lamb,SF,25.0,10.9,-1.1,0.3,2.4,0.202416918429003,0.1401869158878504,0.28
280.0,Jock Landale,C,27.0,16.4,-1.1,0.2,2.7,0.1993957703927492,0.0934579439252336,0.3279999999999999
281.0,Romeo Langford,SG,23.0,10.4,-4.2,-0.5,0.5,0.2084592145015106,0.1121495327102803,0.216
282.0,Jake LaRavia,PF,21.0,6.7,-3.5,-0.2,0.5,0.0906344410876132,0.0560747663551401,0.144
283.0,Zach LaVine,SG,27.0,19.0,1.9,2.7,7.1,0.7492447129909365,0.3925233644859813,0.36
284.0,A.J. Lawson,SG,22.0,20.599999999999998,-1.2666666666666666,-0.06666666666666667,0.06666666666666667,0.0966767371601208,0.006230529595015533,0.10133333333333328
285.0,Damion Lee,SG,30.0,10.7,-1.7,0.1,2.6,0.2477341389728096,0.1214953271028037,0.24
286.0,Saben Lee,PG,23.0,13.0,-2.6333333333333333,0.0,0.4666666666666666,0.15407854984894254,0.20249221183800623,0.10133333333333333
287.0,Alex Len,C,29.0,12.8,-4.0,-0.1,0.3,0.0513595166163141,0.0467289719626168,0.184
288.0,Kawhi Leonard,SF,31.0,23.9,6.1,3.5,7.1,0.7190332326283988,0.3644859813084112,0.52
289.0,Meyers Leonard,C,30.0,12.0,-5.0,-0.1,0.3,0.1450151057401812,0.0093457943925233,0.304
290.0,Caris LeVert,SG,28.0,12.4,-0.2,1.0,4.4,0.3655589123867069,0.3644859813084112,0.304
291.0,Kira Lewis Jr.,PG,21.0,14.5,-0.3,0.1,0.6,0.1389728096676737,0.0841121495327102,0.104
292.0,Damian Lillard,PG,32.0,26.7,7.1,4.9,9.0,0.972809667673716,0.6822429906542057,0.384
293.0,Nassir Little,SF,22.0,10.2,-3.0,-0.3,0.7,0.1993957703927492,0.0841121495327102,0.208
294.0,Isaiah Livers,PF,24.0,8.4,-2.4,-0.1,1.0,0.202416918429003,0.0747663551401869,0.2239999999999999
295.0,Kenneth Lofton Jr.,PF,20.0,20.2,-0.4,0.1,0.5,0.1510574018126888,0.0747663551401869,0.168
296.0,Kevon Looney,C,26.0,17.8,2.1,2.0,8.7,0.2114803625377643,0.2336448598130841,0.7440000000000001
297.0,Brook Lopez,C,34.0,18.4,2.1,2.5,8.0,0.4803625377643504,0.1214953271028037,0.536
298.0,Robin Lopez,C,34.0,11.6,-3.0,-0.1,0.6,0.0906344410876132,0.0467289719626168,0.1119999999999999
299.0,Kevin Love,PF,34.0,13.0,0.3,0.5333333333333333,1.7333333333333334,0.24572004028197378,0.17757009345794392,0.504
300.0,Kyle Lowry,PG,36.0,12.6,0.2,0.9,3.4,0.3383685800604229,0.4766355140186916,0.3279999999999999
301.0,Trey Lyles,PF,27.0,14.2,-1.0,0.3,2.6,0.2296072507552869,0.0841121495327102,0.3279999999999999
302.0,Théo Maledon,PG,21.0,11.6,-2.5,-0.1,0.8,0.202416918429003,0.3271028037383178,0.2239999999999999
303.0,Sandro Mamukelashvili,C,23.0,12.6,-2.6,-0.06666666666666667,0.5666666666666667,0.1943605236656596,0.14018691588785043,0.35733333333333334
304.0,Terance Mann,SG,26.0,13.4,-0.2,0.8,4.3,0.2658610271903323,0.2149532710280373,0.272
305.0,Tre Mann,PG,21.0,10.0,-3.9,-0.6,0.5,0.2326283987915408,0.1682242990654205,0.184
306.0,Boban Marjanović,C,34.0,23.4,1.6,0.2,0.6,0.0996978851963746,0.02803738317757,0.152
307.0,Lauri Markkanen,PF,25.0,22.1,3.8,3.3,8.2,0.7734138972809668,0.1775700934579439,0.688
308.0,Naji Marshall,SF,25.0,11.4,-1.9,0.1,2.5,0.2749244712990936,0.2336448598130841,0.288
309.0,Caleb Martin,SF,27.0,11.4,-1.2,0.4,3.7,0.2900302114803625,0.1495327102803738,0.384
310.0,Cody Martin,SF,27.0,8.7,-4.6,-0.1,0.1,0.1510574018126888,0.1495327102803738,0.272
311.0,Kenyon Martin Jr.,SF,22.0,15.4,-0.7,0.7,4.9,0.3836858006042296,0.1401869158878504,0.44
312.0,Tyrese Martin,SG,23.0,7.7,-7.4,-0.1,0.0,0.039274924471299,0.0093457943925233,0.064
313.0,Garrison Mathews,SG,26.0,10.933333333333332,-2.1999999999999997,-0.06666666666666667,0.6333333333333333,0.1450151057401812,0.0404984423676012,0.10666666666666662
314.0,Bennedict Mathurin,SG,20.0,13.1,-3.7,-1.0,1.8,0.5045317220543806,0.1401869158878504,0.3279999999999999
315.0,Wesley Matthews,SF,36.0,7.0,-2.7,-0.1,1.2,0.1027190332326283,0.0654205607476635,0.176
316.0,Tyrese Maxey,SG,22.0,17.0,0.6,1.3,5.4,0.6132930513595166,0.3271028037383178,0.2319999999999999
317.0,Skylar Mays,PG,25.0,19.4,0.0,0.1,0.7,0.4622356495468278,0.7757009345794393,0.256
318.0,Miles McBride,PG,22.0,8.4,-2.3,-0.1,0.7,0.1057401812688821,0.102803738317757,0.064
319.0,Mac McClung,SG,24.0,19.2,0.5,0.0,0.1,0.377643504531722,0.4205607476635514,0.4
320.0,CJ McCollum,SG,31.0,15.6,0.8,1.9,4.3,0.6314199395770392,0.5327102803738318,0.352
321.0,T.J. McConnell,PG,30.0,16.8,0.5,1.0,3.1,0.2628398791540785,0.4953271028037383,0.248
322.0,Jaden McDaniels,SF,22.0,12.0,-1.2,0.5,4.4,0.3655589123867069,0.1775700934579439,0.312
323.0,Jalen McDaniels,SF,25.0,11.966666666666667,-2.2333333333333334,-0.06666666666666667,1.8333333333333333,0.26888217522658614,0.13707165109034267,0.328
324.0,Doug McDermott,SF,31.0,11.2,-3.2,-0.4,1.0,0.3081570996978852,0.1308411214953271,0.176
325.0,JaVale McGee,C,35.0,17.2,-3.7,-0.1,0.6,0.1329305135951661,0.02803738317757,0.2
326.0,Bryce McGowens,SG,20.0,7.2,-6.0,-0.8,0.1,0.1601208459214501,0.1121495327102803,0.16
327.0,Rodney McGruder,SG,31.0,10.7,-1.5,0.1,0.7,0.1722054380664652,0.0841121495327102,0.184
328.0,Jordan McLaughlin,PG,26.0,11.8,-0.7,0.2,1.3,0.1117824773413897,0.3177570093457944,0.1119999999999999
