Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP
451.0,Dru Smith,SG,25.0,13.0,-0.10000000000000003,0.05,0.3,0.09365558912386704,0.1495327102803738,0.124,0.0441485634197617
452.0,Ish Smith,PG,34.0,6.5,-6.6,-0.5,-0.5,0.0755287009063444,0.2149532710280373,0.104,0.1352487736510161
455.0,Xavier Sneed,SF,25.0,9.5,-3.6,0.0,0.1,0.1299093655589124,0.1214953271028037,0.104,0.0193546234190943
456.0,Jeremy Sochan,PF,19.0,11.4,-4.0,-0.7,0.2,0.3323262839879154,0.2336448598130841,0.424,0.4945439983982381
457.0,Jaden Springer,SG,20.0,17.2,0.3,0.1,0.3,0.0785498489425981,0.0467289719626168,0.072,0.0309006573897954
458.0,Lamar Stevens,SF,25.0,9.5,-2.8,-0.2,1.9,0.1601208459214501,0.0467289719626168,0.264,0.3791170287316047
462.0,Edmond Sumner,SG,27.0,14.0,-2.6,-0.1,1.3,0.2145015105740181,0.1214953271028037,0.12,0.2495745319851837
466.0,Terry Taylor,PF,23.0,9.9,-4.699999999999999,-0.15000000000000002,0.2,0.0845921450151057,0.032710280373831696,0.12,0.08430940701438244
467.0,Garrett Temple,SG,36.0,10.5,-1.0,0.0,0.3,0.0604229607250755,0.0467289719626168,0.0559999999999999,0.0555611172289518
468.0,Dalen Terry,SG,20.0,14.1,0.0,0.1,0.5,0.066465256797583,0.0560747663551401,0.08,0.0726132078619815
470.0,Cam Thomas,SG,21.0,14.7,-2.7,-0.2,1.0,0.3202416918429003,0.1308411214953271,0.136,0.3212200086762105
472.0,JT Thor,PF,20.0,7.0,-4.7,-0.7,0.2,0.1148036253776434,0.0467289719626168,0.176,0.3273600961057163
473.0,Matisse Thybulle,SF,25.0,10.0,0.1,0.3,1.3,0.0815709969788519,0.0467289719626168,0.104,0.2005873127106484
473.0,Matisse Thybulle,SF-SG,25.0,10.5,-0.5,0.4,2.1,0.1238670694864048,0.0654205607476635,0.16,0.4054126205492709
474.0,Xavier Tillman Sr.,C,24.0,17.3,1.9,1.2,4.2,0.2114803625377643,0.1495327102803738,0.4,0.399539493442787
475.0,Isaiah Todd,PF,21.0,-1.0,-14.2,-0.2,-0.2,0.0453172205438066,0.0654205607476635,0.16,0.0230920679414022
476.0,Obi Toppin,PF,24.0,13.6,-0.5,0.4,2.1,0.2235649546827794,0.0934579439252336,0.2239999999999999,0.3549571194981146
477.0,Juan Toscano-Anderson,SF,29.0,7.2,-3.8333333333333335,-0.19999999999999998,0.3333333333333333,0.09164149043303114,0.1214953271028037,0.19466666666666663,0.15960890312677276
480.0,P.J. Tucker,PF,37.0,5.7,-3.0,-0.5,2.5,0.1057401812688821,0.0747663551401869,0.312,0.6485801047819268
487.0,Gabe Vincent,PG,26.0,9.0,-3.4,-0.6,1.4,0.283987915407855,0.2336448598130841,0.168,0.5949544498948844
488.0,Noah Vonleh,C,27.0,5.9,-6.3,-0.2,0.2,0.0332326283987915,0.02803738317757,0.168,0.0588647512263489
490.0,Dean Wade,PF,26.0,8.5,-0.7,0.3,1.8,0.1419939577039275,0.0747663551401869,0.272,0.3034337771548703
493.0,Ish Wainright,SF,28.0,9.2,-1.2,0.2,1.7,0.1268882175226586,0.0841121495327102,0.184,0.3097740848266426
494.0,Jabari Walker,SF,20.0,9.6,-6.1,-0.6,0.2,0.1178247734138972,0.0560747663551401,0.184,0.2095972236126406
495.0,Kemba Walker,PG,32.0,15.0,-0.3,0.1,0.3,0.2416918429003021,0.1962616822429906,0.144,0.0527246637968432
496.0,Lonnie Walker IV,SG,24.0,12.2,-1.4,0.2,1.8,0.3534743202416918,0.102803738317757,0.152,0.4398838722594855
498.0,T.J. Warren,PF,29.0,14.3,-2.0,0.0,0.8,0.2870090634441087,0.102803738317757,0.2239999999999999,0.1691193646344312
498.0,T.J. Warren,PF-SF,29.0,13.5,-2.0,0.0,1.2,0.2265861027190332,0.0934579439252336,0.2319999999999999,0.2340574632095305
498.0,T.J. Warren,SF,29.0,11.6,-1.9,0.0,0.3,0.1268882175226586,0.0654205607476635,0.248,0.0691760937030733
499.0,Duane Washington Jr.,SG,22.0,9.3,-4.6,-0.3,-0.5,0.2386706948640483,0.1869158878504673,0.096,0.1350485534087496
501.0,TyTy Washington Jr.,PG,21.0,7.5,-6.3,-0.5,-0.1,0.1419939577039275,0.1401869158878504,0.12,0.1484966796809824
502.0,Yuta Watanabe,SF,28.0,12.1,-0.6,0.3,2.1,0.1691842900302114,0.0747663551401869,0.192,0.3143457803583943
503.0,Lindy Waters III,SG,25.0,11.8,0.1,0.3,1.1,0.1570996978851963,0.0654205607476635,0.144,0.1808656188473988
504.0,Trendon Watford,PF,22.0,13.6,-1.8,0.1,2.1,0.2235649546827794,0.1962616822429906,0.304,0.4001401541695865
505.0,Peyton Watson,SG,20.0,12.8,-2.8,0.0,0.3,0.0996978851963746,0.0467289719626168,0.128,0.0641038475656555
506.0,Blake Wesley,SG,19.0,3.5,-9.6,-1.3,-1.6,0.1510574018126888,0.2523364485981308,0.176,0.2286181466279574
508.0,Coby White,SG,22.0,12.5,-0.8,0.5,3.1,0.2930513595166162,0.2616822429906542,0.2319999999999999,0.5844428871758935
510.0,Jack White,SF,25.0,12.6,-1.9,0.0,0.1,0.0362537764350453,0.0186915887850467,0.08,0.0226582574164914
512.0,Aaron Wiggins,SG,24.0,12.2,-2.1,0.0,2.6,0.2054380664652567,0.102803738317757,0.24,0.4383154803617313
514.0,Lindell Wigginton,PG,24.0,11.8,-6.7,-0.1,0.1,0.2145015105740181,0.1869158878504673,0.08,0.0325024193279273
517.0,Grant Williams,PF,24.0,10.3,-1.1,0.5,4.4,0.2447129909365558,0.1588785046728972,0.368,0.6903927653752462
519.0,Jaylin Williams,C,20.0,11.2,-1.7,0.1,1.9,0.1782477341389728,0.1495327102803738,0.392,0.3105749657957086
520.0,Jeenathan Williams,SG,23.0,15.5,-3.0,0.0,0.3,0.3202416918429003,0.1869158878504673,0.24,0.0501885407281342
521.0,Kenrich Williams,PF,28.0,14.4,0.5,0.8,3.3,0.2416918429003021,0.1869158878504673,0.392,0.409383655354223
525.0,Vince Williams Jr.,SG,22.0,3.9,-8.5,-0.2,-0.1,0.0604229607250755,0.02803738317757,0.08,0.0367070444155237
526.0,Ziaire Williams,SF,21.0,7.4,-5.6,-0.5,0.1,0.1722054380664652,0.0841121495327102,0.168,0.1916107718490339
530.0,James Wiseman,C,21.0,16.35,-2.6,-0.15,1.1,0.2552870090634441,0.0654205607476635,0.376,0.19301231354489934
533.0,McKinley Wright IV,PG,24.0,12.4,-2.7,-0.1,0.5,0.1268882175226586,0.1962616822429906,0.136,0.1152601194647445
534.0,Gabe York,SG,29.0,11.8,-3.5,0.0,0.1,0.2416918429003021,0.1588785046728972,0.16,0.0242600193546234
535.0,Thaddeus Young,PF,34.0,14.1,0.1,0.4,1.8,0.1329305135951661,0.1308411214953271,0.248,0.2695298161310775
