Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
381.0,Shake Milton,SG,25.0,11.9,-2.2,-0.1,1.7,0.2679738562091503,0.2314814814814814,0.1768707482993197,0.4151309408341416,0.659,4.37
382.0,Davion Mitchell,PG,23.0,10.8,-3.8,-0.9,0.1,0.3758169934640523,0.3888888888888889,0.1496598639455782,0.7280379659138145,0.585,2.3
383.0,Donovan Mitchell,SG,25.0,21.6,4.3,3.6,7.2,0.8464052287581698,0.4907407407407407,0.2857142857142857,0.795967853678814,0.451,-1.03
384.0,Evan Mobley,PF,20.0,16.1,0.6,1.5,5.2,0.4901960784313725,0.2314814814814814,0.5646258503401361,0.8184841346820009,0.622,5.23
385.0,Malik Monk,SG,23.0,14.4,-0.5,0.8,3.6,0.4509803921568627,0.2685185185185185,0.2312925170068027,0.7499999999999999,0.524,0.43
387.0,Moses Moody,SG,19.0,10.5,-2.5,-0.1,1.3,0.1437908496732026,0.037037037037037,0.1020408163265306,0.2136275460717749,0.537,1.66
388.0,Xavier Moon,SG,27.0,16.2,-0.1,0.1,0.3,0.1895424836601307,0.2222222222222222,0.0952380952380952,0.0515103228488291,0.537,0.31
390.0,Ja Morant,PG,22.0,24.4,6.1,3.9,6.7,0.8954248366013071,0.6203703703703703,0.3877551020408163,0.6651309408341415,0.622,3.6
393.0,Marcus Morris,PF,32.0,13.7,-1.4,0.3,2.4,0.5032679738562091,0.1944444444444444,0.2993197278911565,0.5511292780933905,0.537,0.31
394.0,Markieff Morris,PF,32.0,10.9,-1.9,0.0,0.3,0.2483660130718954,0.1296296296296296,0.1768707482993197,0.1085977552999861,0.537,-0.13
395.0,Monte Morris,PG,26.0,14.7,0.0,1.1,5.4,0.4117647058823529,0.4074074074074074,0.2040816326530612,0.785263960094222,0.646,3.04
397.0,Mychal Mulder,PG,27.0,2.1,-8.6,-0.3,-0.4,0.1209150326797385,0.0185185185185185,0.0952380952380952,0.0713592905639462,0.415,-2.39
399.0,Trey Murphy III,SF,21.0,12.5,-1.2,0.2,1.9,0.1764705882352941,0.0555555555555555,0.163265306122449,0.3034155466260219,0.512,1.63
400.0,Dejounte Murray,PG,25.0,22.3,5.4,4.4,7.3,0.6895424836601307,0.8518518518518517,0.5646258503401361,0.8309546903145352,0.268,-9.82
