Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (DecisionTree),Predicted Trade Value (RandomForest),Predicted Trade Value (GradientBoosting),Predicted WLp (DecisionTree),Predicted WLp (RandomForest),Predicted WLp (GradientBoosting),Predicted SRS (DecisionTree),Predicted SRS (RandomForest),Predicted SRS (GradientBoosting)
118,Moussa Diabaté,C,21,14.2,-2.8,0,0.4,0.081570997,0.018691589,0.184,0.070201669,0.537,0.31,-0.726056615,-0.495312633,-0.513457165,-0.528226124,0.504073129,0.503952846,0.504635077,0.152942177,0.159337781,-0.003734952
251,Damian Jones,C,27,13.1,-1.75,0,0.6,0.107250755,0.037383178,0.24,0.086369958,0.4875,-0.3,-0.662708682,-0.390994995,-0.51536802,-0.49878526,0.500202381,0.50019914,0.507693375,0.008038095,0.011197132,0.169151186
315,Wesley Matthews,SF,36,7,-2.7,-0.1,1.2,0.102719033,0.065420561,0.176,0.289916551,0.707,3.61,-0.842060184,-0.383149005,-0.522572833,-0.520702742,0.519456522,0.519684744,0.507144455,0.540434783,0.571124204,0.010610273
433,Admiral Schofield,PF,25,10.1,-2.9,-0.1,0.8,0.126888218,0.074766355,0.136,0.160361613,0.415,-2.39,-0.784700954,-0.583583802,-0.522660899,-0.520356686,0.508199225,0.507789807,0.50414876,0.308763566,0.295673654,0.320191099
259,Nikola Jović,PF,19,10.6,-3.4,-0.1,0.2,0.166163142,0.065420561,0.168,0.074965229,0.537,-0.13,-0.792686758,-0.424984228,-0.527094283,-0.516101703,0.498444444,0.497694561,0.510074155,-0.062469136,-0.080754238,-0.01887161
147,Malachi Flynn,PG,24,8.7,-4.1,-0.4,0.5,0.13897281,0.121495327,0.112,0.244089013,0.5,1.59,-0.870235854,-0.440213341,-0.528798085,-0.546804542,0.506668716,0.506953653,0.50701829,0.245491803,0.252771118,0.178129397
498,T.J. Warren,SF,29,11.6,-1.9,0,0.3,0.126888218,0.065420561,0.248,0.072079277,0.549,2.08,-0.71235115,-0.536804702,-0.536795404,-0.476566637,0.503932624,0.504477885,0.509374768,0.109143026,0.122744987,0.320191099
505,Peyton Watson,SG,20,12.8,-2.8,0,0.3,0.099697885,0.046728972,0.128,0.066794159,0.646,3.04,-0.771305727,-0.636910609,-0.545596702,-0.530069091,0.49805314,0.498016101,0.509812058,-0.06852657,-0.072388191,0.010610273
237,Quenton Jackson,PG,24,12.2,-5.1,-0.1,0.2,0.187311178,0.158878505,0.072,0.051460362,0.427,-1.06,-0.860184245,-0.636558014,-0.546152587,-0.546154169,0.506668716,0.506953653,0.506600594,0.245491803,0.252771118,0.145379025
152,Evan Fournier,SG,30,6.9,-4,-0.2,0.1,0.18429003,0.121495327,0.144,0.164812239,0.573,2.99,-0.93556285,-0.609927579,-0.551967669,-0.5586842,0.487382096,0.486751871,0.5059215,-0.40930131,-0.427481533,0.145379025
20,Patrick Baldwin Jr.,SF,20,11.3,-2.1,0,0.1,0.117824773,0.037383178,0.104,0.0804242,0.537,1.66,-0.792259166,-0.575839507,-0.556051981,-0.529798147,0.49805314,0.498016101,0.513559644,-0.06852657,-0.072388191,0.489724708
141,Kessler Edwards,SF,22,10,-2.5,0,0.6,0.117824773,0.093457944,0.168,0.110535466,0.585,2.3,-0.747855188,-0.5928829,-0.556371509,-0.520060781,0.501837292,0.502055693,0.503839924,0.104802059,0.108047752,0.489724708
122,Ousmane Dieng,PF,19,9.3,-3.6,-0.2,0.4,0.148036254,0.112149533,0.216,0.202225313,0.488,0.96,-0.740178281,-0.573795895,-0.557632165,-0.488384407,0.498444444,0.497694561,0.506417739,-0.062469136,-0.080754238,0.293479083
415,Duncan Robinson,SF,28,7.8,-5,-0.5,0.5,0.193353474,0.102803738,0.128,0.245305981,0.537,-0.13,-0.939723538,-0.524896549,-0.558917742,-0.568006652,0.496944006,0.498272086,0.504223503,-0.087681388,-0.035907137,0.157084661
254,Kai Jones,C,22,10.8,-4,-0.3,0.7,0.102719033,0.028037383,0.216,0.194714882,0.329,-5.89,-0.80919068,-0.569261005,-0.559887211,-0.560351358,0.501837292,0.502055693,0.50850578,0.104802059,0.108047752,0.010610273
