Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (DecisionTree),Predicted Trade Value (RandomForest),Predicted Trade Value (GradientBoosting)
400,Dejounte Murray,PG,25,22.3,5.4,4.4,7.3,0.689542484,0.851851852,0.56462585,0.83095469,0.268,-9.82,2.210882952,2.217324971,2.121594402,2.299179298
87,Jimmy Butler,SF,32,23.6,6.3,4,9.2,0.699346405,0.509259259,0.401360544,0.679957046,0.537,-0.13,2.048669424,2.158606824,1.948192196,1.886772321
390,Ja Morant,PG,22,24.4,6.1,3.9,6.7,0.895424837,0.62037037,0.387755102,0.665130941,0.622,3.6,2.124812318,1.935167897,1.91950145,1.943114402
59,Devin Booker,SG,25,21.3,4.1,3.6,7.6,0.875816993,0.444444444,0.340136054,0.823576278,0.549,2.08,1.929258591,2.094843134,1.905292002,1.8704925
501,Pascal Siakam,PF,27,20.3,3.5,3.6,8.1,0.745098039,0.490740741,0.578231293,0.90546626,0.5,1.59,1.907557869,1.879269217,1.867492608,1.827807918
383,Donovan Mitchell,SG,25,21.6,4.3,3.6,7.2,0.846405229,0.490740741,0.285714286,0.795967854,0.451,-1.03,1.878379023,2.094843134,1.857366194,1.780605927
134,DeMar DeRozan,PF,32,23.1,2.5,3.1,8.8,0.911764706,0.453703704,0.353741497,0.961999446,0.488,1.37,1.939528864,1.417350953,1.815478986,1.948673242
195,Rudy Gobert,C,29,24.7,4.6,3.6,11.7,0.509803922,0.101851852,1,0.744803935,0.451,-1.03,2.129653326,1.604263984,1.766148228,1.934166759
25,LaMelo Ball,PG,20,19.7,3.4,3.3,5.8,0.656862745,0.703703704,0.455782313,0.849487322,0.329,-5.89,1.72939007,1.411801477,1.678841118,1.799983543
554,Fred VanVleet,PG,27,17.3,3.6,3.5,6.7,0.663398693,0.62037037,0.299319728,0.865283359,0.5,1.59,1.59600003,1.635028737,1.66726624,1.658371664
438,Chris Paul,PG,36,20.8,5.4,4,9.4,0.480392157,1,0.299319728,0.751662741,0.549,2.08,2.036510605,1.381265722,1.657656978,1.879130194
184,Darius Garland,PG,22,19,2.6,2.8,6.3,0.709150327,0.796296296,0.224489796,0.853436331,0.622,5.23,1.702891572,2.021633559,1.599138831,1.689582472
589,Robert Williams,C,24,22.1,5.5,3.4,9.9,0.326797386,0.185185185,0.653061224,0.634474158,0.695,6.38,1.786735238,2.136646371,1.592597283,1.635224722
245,Jrue Holiday,PG,31,19.8,3.2,2.9,6.9,0.598039216,0.62962963,0.306122449,0.775599279,0.707,3.61,1.427133903,1.361255778,1.433049729,1.483869491
250,Al Horford,C,35,16.7,4.3,3.2,7.6,0.333333333,0.314814815,0.523809524,0.703928225,0.695,6.38,1.065803196,1.421443469,1.391409498,1.358400042
324,Zach LaVine,SG,26,20,2.4,2.6,5.8,0.797385621,0.416666667,0.31292517,0.817756686,0.488,1.37,1.35340091,1.875860298,1.381133167,1.36046128
67,Miles Bridges,PF,23,17.9,1.5,2.5,7.2,0.660130719,0.351851852,0.476190476,0.99435361,0.329,-5.89,1.496230064,1.528155065,1.3808876,1.341650699
8,Jarrett Allen,C,23,23,3.9,2.7,8.5,0.526143791,0.148148148,0.734693878,0.637487876,0.622,5.23,1.602553856,1.301374276,1.374765816,1.409184467
3,Bam Adebayo,C,24,21.8,3.8,2.7,7.2,0.624183007,0.314814815,0.68707483,0.642787862,0.537,-0.13,1.513454173,1.509031867,1.280951609,1.309241901
192,Shai Gilgeous-Alexander,PG,23,20.9,3.4,2.7,4.6,0.800653595,0.546296296,0.340136054,0.684044617,0.488,0.96,1.355095052,1.003551548,1.267854835,1.323277075
66,Mikal Bridges,SF,25,14.4,1.6,2.6,8.9,0.464052288,0.212962963,0.285714286,1,0.549,2.08,1.387534092,1.318965345,1.249744734,1.268658977
551,Jonas Valančiūnas,C,29,21.2,1.9,2.2,7.3,0.581699346,0.240740741,0.775510204,0.785748926,0.512,1.63,1.253601025,1.352834934,1.20944074,1.189472645
93,Clint Capela,C,27,21.4,2,2.1,8.3,0.362745098,0.111111111,0.80952381,0.716225578,0.5,0.32,1.201597578,1.419120953,1.17601126,1.121822391
484,Terry Rozier,SG,27,17.6,1.7,2.3,5.9,0.630718954,0.416666667,0.292517007,0.862442843,0.329,-5.89,1.127158963,1.106605752,1.171830024,1.159915638
