Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value
507.0,Russell Westbrook,PG,34.0,16.55,0.35,0.6,0.95,0.4788519637462235,0.705607476635514,0.444,0.3791550764951321,0.5305,0.37,0.28286837781996166,0.24942757700338777
508.0,Coby White,SG,22.0,12.5,-0.8,0.5,3.1,0.2930513595166162,0.2616822429906542,0.2319999999999999,0.608970792767733,0.488,1.37,0.11861620036378205,0.08994404306072493
509.0,Derrick White,SG,28.0,15.4,2.4,2.6,7.4,0.3746223564954682,0.3644859813084112,0.288,0.8154728789986092,0.695,6.38,1.0112325768197044,0.9664766215439038
510.0,Jack White,SF,25.0,12.6,-1.9,0.0,0.1,0.0362537764350453,0.0186915887850467,0.08,0.0236091794158553,0.646,3.04,-0.4886635241038578,-0.4912533686819037
511.0,Joe Wieskamp,SF,23.0,-0.4,-10.6,-0.1,-0.1,0.0302114803625377,0.02803738317757,0.032,0.0186369958275382,0.5,1.59,-1.429009732587092,-1.2513416484102198
512.0,Aaron Wiggins,SG,24.0,12.2,-2.1,0.0,2.6,0.2054380664652567,0.102803738317757,0.24,0.4567107093184979,0.488,0.96,-0.1164622396642975,-0.06048458024477028
513.0,Andrew Wiggins,SF,27.0,14.7,-0.5,0.5,2.3,0.5166163141993958,0.2149532710280373,0.4,0.424269819193324,0.537,1.66,0.19750070453740506,0.10620883804750007
514.0,Lindell Wigginton,PG,24.0,11.8,-6.7,-0.1,0.1,0.2145015105740181,0.1869158878504673,0.08,0.0338664812239221,0.707,3.61,-0.5917316808318233,-0.5367962779372324
515.0,Alondes Williams,SG,23.0,-20.9,-26.5,0.0,-0.1,0.0,0.0,0.08,0.0027816411682892,0.549,1.03,-2.930186301288523,-2.612183163564433
516.0,Donovan Williams,SG,21.0,14.5,-15.2,0.0,0.0,0.0604229607250755,0.0,0.08,0.0013908205841446,0.5,0.32,-0.8027731324334219,-0.6303442592445242
517.0,Grant Williams,PF,24.0,10.3,-1.1,0.5,4.4,0.2447129909365558,0.1588785046728972,0.368,0.7193671766342142,0.695,6.38,0.12468803079955548,0.11308073819841014
518.0,Jalen Williams,SG,21.0,15.6,0.3,1.3,5.6,0.4259818731117824,0.308411214953271,0.36,0.8012169680111266,0.488,0.96,0.722346600735395,0.7539173293831126
519.0,Jaylin Williams,C,20.0,11.2,-1.7,0.1,1.9,0.1782477341389728,0.1495327102803738,0.392,0.3236091794158554,0.488,0.96,-0.15499060688665828,-0.18940612946911473
520.0,Jeenathan Williams,SG,23.0,15.5,-3.0,0.0,0.3,0.3202416918429003,0.1869158878504673,0.24,0.0522948539638386,0.402,-3.96,-0.18962741900092525,-0.1871840399290603
521.0,Kenrich Williams,PF,28.0,14.4,0.5,0.8,3.3,0.2416918429003021,0.1869158878504673,0.392,0.4265646731571627,0.488,0.96,0.25710447067472586,0.2782890601475301
522.0,Mark Williams,C,21.0,19.8,0.1,0.4,2.8,0.2719033232628399,0.0373831775700934,0.568,0.2939151599443672,0.329,-5.89,0.4683227202095711,0.29784615822354854
523.0,Patrick Williams,PF,21.0,11.2,-1.3,0.4,3.5,0.3081570996978852,0.1121495327102803,0.32,0.8168636995827538,0.488,1.37,0.08034149917921553,0.13511450321136467
524.0,Robert Williams,C,25.0,19.8,3.3,1.1,3.8,0.2416918429003021,0.1308411214953271,0.664,0.2939847009735744,0.695,6.38,0.7484227884639962,0.6124747922249179
525.0,Vince Williams Jr.,SG,22.0,3.9,-8.5,-0.2,-0.1,0.0604229607250755,0.02803738317757,0.08,0.0382475660639777,0.622,3.6,-1.132797214379138,-1.008890869185536
526.0,Ziaire Williams,SF,21.0,7.4,-5.6,-0.5,0.1,0.1722054380664652,0.0841121495327102,0.168,0.1996522948539638,0.622,3.6,-0.7894827247188548,-0.7013494252202155
527.0,Zion Williamson,PF,22.0,25.2,5.8,1.9,3.6,0.7854984894259819,0.4299065420560747,0.56,0.3431849791376912,0.512,1.63,1.3467620381912129,1.238399321473651
528.0,Dylan Windler,SF,26.0,19.0,6.7,0.0,0.0,0.0513595166163141,0.02803738317757,0.0,0.0039290681502086,0.622,5.23,0.06347845792070755,0.04690254700057444
529.0,Justise Winslow,PF,26.0,9.3,-2.8,-0.2,0.4,0.2054380664652567,0.3177570093457944,0.4,0.2784422809457579,0.402,-3.96,-0.4405852036554846,-0.36328291939618473
530.0,James Wiseman,C,21.0,16.05,-3.0,-0.2,0.7,0.29607250755287,0.0654205607476635,0.464,0.1565890125173852,0.372,-3.035,-0.09834947659839505,-0.0870636663731113
531.0,Christian Wood,C,27.0,20.6,1.7,1.6,4.8,0.5015105740181269,0.1682242990654205,0.584,0.6126216968011127,0.463,-0.14,0.9460254157087888,1.0895970570164883
532.0,Delon Wright,PG,30.0,16.3,3.4,1.7,3.7,0.2235649546827794,0.3644859813084112,0.288,0.432336578581363,0.427,-1.06,0.5628379291606758,0.5603388291203939
533.0,McKinley Wright IV,PG,24.0,12.4,-2.7,-0.1,0.5,0.1268882175226586,0.1962616822429906,0.136,0.1200973574408901,0.463,-0.14,-0.3925352105154046,-0.3344574487227081
534.0,Gabe York,SG,29.0,11.8,-3.5,0.0,0.1,0.2416918429003021,0.1588785046728972,0.16,0.0252781641168289,0.427,-2.91,-0.491916558850869,-0.4320104436014721
535.0,Thaddeus Young,PF,34.0,14.1,0.1,0.4,1.8,0.1329305135951661,0.1308411214953271,0.248,0.2808414464534075,0.5,1.59,-0.08050240362148188,0.025417451738448227
536.0,Trae Young,PG,24.0,22.0,3.3,3.4,6.7,0.7915407854984894,0.9532710280373832,0.24,0.8949235048678721,0.5,0.32,1.6411366934096263,1.4462714709572604
537.0,Omer Yurtseven,C,24.0,16.7,-3.9,0.0,0.3,0.1329305135951661,0.0186915887850467,0.208,0.0313630041724617,0.537,-0.13,-0.26681655983403996,-0.20071178051814215
538.0,Cody Zeller,C,30.0,16.4,-2.8,0.0,0.7,0.1963746223564954,0.0654205607476635,0.344,0.079798331015299,0.537,-0.13,-0.1732299758816419,-0.26795080857602593
539.0,Ivica Zubac,C,25.0,16.7,-0.9,0.6,6.7,0.3262839879154078,0.0934579439252336,0.792,0.763769123783032,0.537,0.31,0.7945265859327795,0.7340354576758709
