Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
100,Antonius Cleveland,SG,23,ATL,0.037037037037037035,0.0,0.09523809523809523,0.08530805687203791,.571,0.19047619047619047,0.08,1.000,0.030927835051546393,0.057803468208092484,.250,.786,0.0574712643678161,0.04950495049504951,1.0,0.058823529411764705,0.07339449541284404,0.0625,0.0,0.125,0.11538461538461538,0.26,0.75,0.10855263157894737,3.5,.825,.429,.286,2.7,8.0,5.3,0.0,1.2,2.0,38.8,13.4,0.0,0.0,0.0,-0.009,-8.3,-0.7,-9.0,-0.1,0.01649841549870953,0.5,0.32
102,Zach Collins,C,20,POR,0.8024691358024691,0.012195121951219513,0.1619047619047619,0.2085308056872038,.398,0.11904761904761904,0.16999999999999998,.310,0.12371134020618557,0.15606936416184972,.455,.458,0.04597701149425288,0.0594059405940594,0.643,0.13725490196078433,0.24770642201834864,0.20625,0.07766990291262135,0.125,0.1923076923076923,0.18,0.5,0.14473684210526316,7.5,.475,.391,.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,-0.7,1.3,0.6,.030,-4.5,0.2,-4.3,-0.6,0.34591133326799306,0.402,-3.96
103,Kyle Collinsworth,SF,26,DAL,0.38271604938271603,0.024390243902439025,0.11428571428571428,0.14691943127962084,.384,0.023809523809523808,0.05,.235,0.11340206185567012,0.15028901734104047,.415,.404,0.08045977011494253,0.12871287128712872,0.525,0.19607843137254904,0.2110091743119266,0.20625,0.17475728155339806,0.20833333333333334,0.11538461538461538,0.16,0.35,0.10526315789473685,10.0,.433,.172,.404,7.2,18.0,12.4,16.4,1.8,1.7,17.1,13.3,-0.1,0.5,0.5,.046,-3.5,0.9,-2.6,-0.1,0.1610637394230455,0.463,-0.14
105,Nick Collison,PF,37,OKC,0.1728395061728395,0.0,0.08571428571428572,0.061611374407582936,.684,0.0,0.0,0,0.09278350515463918,0.07514450867052024,.684,.684,0.034482758620689655,0.08910891089108912,0.385,0.09803921568627452,0.08256880733944955,0.08125,0.029126213592233007,0.0,0.0,0.1,0.125,0.06907894736842106,13.2,.627,.000,.684,10.0,19.9,14.8,8.2,0.0,0.0,22.1,18.2,0.1,0.0,0.1,.064,-2.3,-1.9,-4.2,0.0,0.02548270116632363,0.488,0.96
107,Pat Connaughton,SG,25,POR,1.0,0.06097560975609756,0.19047619047619047,0.22748815165876776,.423,0.21428571428571427,0.26,.352,0.11340206185567012,0.12716763005780346,.506,.518,0.0574712643678161,0.04950495049504951,0.841,0.07843137254901962,0.13761467889908258,0.125,0.10679611650485438,0.125,0.11538461538461538,0.1,0.375,0.17763157894736845,9.3,.539,.538,.113,2.7,9.1,5.9,8.7,0.8,1.2,9.5,13.4,1.2,1.3,2.5,.080,-1.7,-0.1,-1.8,0.1,0.4913914208239406,0.402,-3.96
108,Quinn Cook,PG,24,GSW,0.3950617283950617,0.21951219512195122,0.3523809523809524,0.3601895734597156,.484,0.3333333333333333,0.32,.442,0.23711340206185566,0.26011560693641617,.514,.575,0.08045977011494253,0.07920792079207921,0.88,0.058823529411764705,0.2018348623853211,0.15625,0.2621359223300971,0.16666666666666669,0.0,0.2,0.45,0.3125,12.8,.593,.413,.099,1.6,10.2,6.2,16.6,0.8,0.1,10.8,17.5,1.1,0.4,1.6,.101,-0.1,-1.5,-1.6,0.1,0.24842366624195497,0.537,1.66
109,Charles Cooke,SG,23,NOP,0.14814814814814814,0.0,0.01904761904761905,0.05213270142180095,.143,0.023809523809523808,0.06,.125,0.010309278350515465,0.028901734104046242,.167,.179,0.01149425287356322,0.019801980198019802,0.5,0.0,0.01834862385321101,0.0125,0.009708737864077669,0.04166666666666667,0.0,0.02,0.0,0.01644736842105263,-5.1,.202,.571,.143,0.0,5.5,2.9,3.2,1.3,0.0,6.3,18.1,-0.2,0.0,-0.2,-0.239,-10.4,-4.0,-14.4,-0.1,0.012708680453461399,0.512,1.63
110,Jack Cooley,PF,26,SAC,0.07407407407407407,0.0,0.18095238095238095,0.1848341232227488,.481,0.0,0.0,0,0.1958762886597938,0.2254335260115607,.481,.481,0.2298850574712644,0.26732673267326734,0.737,0.3921568627450981,0.2110091743119266,0.26875,0.08737864077669903,0.04166666666666667,0.0,0.08,0.475,0.18750000000000003,19.7,.566,.000,.704,17.6,21.9,19.6,10.5,0.6,0.0,7.8,19.8,0.3,0.0,0.3,.182,0.9,-1.4,-0.6,0.0,0.03182070632820412,0.585,2.3
114,Allen Crabbe,SG,25,BRK,0.9135802469135802,0.8292682926829268,0.42857142857142855,0.5213270142180094,.407,0.6428571428571429,0.71,.378,0.18556701030927836,0.2254335260115607,.461,.529,0.1724137931034483,0.17821782178217824,0.852,0.07843137254901962,0.35779816513761464,0.26875,0.1553398058252427,0.25,0.1923076923076923,0.2,0.55,0.4342105263157895,12.3,.558,.643,.163,1.3,14.4,7.8,8.4,1.0,1.2,8.1,19.0,1.8,1.4,3.2,.070,0.0,-0.7,-0.7,0.7,0.726681694926329,0.549,1.03
115,Torrey Craig,SF,27,DEN,0.4691358024691358,0.06097560975609756,0.1523809523809524,0.16587677725118483,.453,0.09523809523809523,0.15,.293,0.12371134020618557,0.11560693641618497,.570,.515,0.06896551724137931,0.08910891089108912,0.629,0.19607843137254904,0.2018348623853211,0.20625,0.058252427184466014,0.125,0.15384615384615385,0.1,0.4,0.13815789473684212,9.8,.535,.423,.255,7.2,15.5,11.4,5.4,0.9,2.0,11.6,11.9,0.5,0.4,0.9,.069,-2.2,-0.7,-2.9,-0.1,0.21010160410336828,0.646,3.04
