Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP
333,Patrick McCaw,SG,23,TOR,0.30864197530864196,0.012195121951219513,0.08333333333333333,0.08571428571428572,.444,0.058823529411764705,0.06818181818181819,.333,0.06451612903225806,0.07272727272727272,.533,.519,0.051546391752577324,0.05454545454545454,0.867,0.05555555555555555,0.13513513513513514,0.10897435897435898,0.09345794392523366,0.33333333333333337,0.037037037037037035,0.1,0.35,0.07479224376731303,8.7,.569,.444,.278,2.3,11.6,7.1,9.8,2.9,0.5,18.8,9.3,0.2,0.5,0.7,.096,-4.4,2.7,-1.7,0.0,0.11596852655979627
334,CJ McCollum,SG,27,POR,0.8518518518518519,0.8536585365853658,0.7592592592592592,0.726530612244898,.459,0.47058823529411764,0.4848484848484849,.375,0.6236559139784945,0.6909090909090909,.506,.527,0.23711340206185566,0.24545454545454548,0.828,0.16666666666666666,0.2792792792792793,0.25641025641025644,0.28037383177570097,0.33333333333333337,0.14814814814814814,0.3,0.625,0.5817174515235457,17.0,.553,.358,.154,2.9,9.7,6.3,13.8,1.1,0.9,7.4,25.5,4.0,1.7,5.6,.114,2.1,-1.0,1.0,1.8,0.7858238923895654
335,T.J. McConnell,PG,26,PHI,0.9259259259259259,0.036585365853658534,0.2685185185185185,0.22448979591836735,.525,0.03921568627450981,0.045454545454545456,.333,0.2903225806451613,0.30303030303030304,.546,.542,0.04123711340206186,0.045454545454545456,0.784,0.07407407407407407,0.17117117117117117,0.14743589743589744,0.31775700934579443,0.4166666666666667,0.07407407407407407,0.24,0.35,0.1772853185595568,13.4,.555,.100,.088,2.1,10.2,6.3,24.7,2.5,0.9,17.3,15.0,1.2,1.7,2.9,.094,-1.8,0.9,-0.9,0.4,0.485585556172255
336,Doug McDermott,SF,27,IND,0.9382716049382716,0.012195121951219513,0.25,0.22448979591836735,.491,0.21568627450980396,0.20454545454545456,.408,0.17204301075268816,0.16969696969696968,.569,.590,0.09278350515463918,0.09090909090909091,0.835,0.037037037037037035,0.10810810810810811,0.08974358974358974,0.08411214953271029,0.08333333333333334,0.037037037037037035,0.1,0.35,0.20221606648199444,11.6,.617,.488,.187,1.4,7.5,4.5,7.1,0.7,0.5,8.4,16.3,1.8,1.1,2.9,.103,-0.5,-0.9,-1.4,0.2,0.4425217930719253
337,JaVale McGee,C,31,LAL,0.9135802469135802,0.7560975609756098,0.4907407407407407,0.3469387755102041,.624,0.0,0.015151515151515154,.083,0.5698924731182795,0.5090909090909091,.634,.625,0.13402061855670105,0.18181818181818182,0.632,0.48148148148148145,0.4414414414414415,0.4807692307692308,0.06542056074766354,0.25,0.7407407407407407,0.27999999999999997,0.7,0.33240997229916897,21.8,.634,.019,.237,12.3,22.5,17.5,4.8,1.3,7.3,13.2,20.2,3.0,2.9,5.9,.171,0.3,1.2,1.4,1.4,0.5521891018315975
338,Rodney McGruder,SG,27,MIA,0.8024691358024691,0.5487804878048781,0.25925925925925924,0.2857142857142857,.403,0.23529411764705882,0.25757575757575757,.351,0.17204301075268816,0.2181818181818182,.453,.489,0.08247422680412372,0.1,0.722,0.16666666666666666,0.24324324324324326,0.23076923076923078,0.15887850467289721,0.20833333333333334,0.07407407407407407,0.2,0.425,0.21052631578947367,9.4,.510,.488,.156,4.1,12.2,8.2,10.3,1.1,0.7,11.5,15.4,0.4,1.6,1.9,.059,-2.2,-0.1,-2.3,-0.1,0.5130758431551797
339,Alfonzo McKinnie,SF,26,GSW,0.8765432098765432,0.06097560975609756,0.1759259259259259,0.15510204081632653,.487,0.11764705882352941,0.12121212121212123,.356,0.13978494623655913,0.13333333333333333,.586,.564,0.04123711340206186,0.06363636363636363,0.563,0.20370370370370372,0.2072072072072072,0.21794871794871795,0.03738317757009346,0.125,0.07407407407407407,0.08,0.475,0.13019390581717452,11.2,.569,.429,.175,9.0,16.9,13.1,4.0,0.9,1.3,9.2,13.9,1.2,0.9,2.1,.100,-2.2,-1.3,-3.5,-0.4,0.3313526396552287
340,Ben McLemore,SG,25,SAC,0.2222222222222222,0.0,0.12037037037037036,0.13877551020408163,.391,0.17647058823529413,0.16666666666666669,.415,0.04301075268817204,0.07272727272727272,.348,.523,0.04123711340206186,0.05454545454545454,0.667,0.037037037037037035,0.06306306306306306,0.057692307692307696,0.01869158878504673,0.125,0.07407407407407407,0.06,0.3,0.10803324099722991,10.5,.541,.641,.188,1.9,9.4,5.5,3.4,1.8,1.6,6.7,19.4,0.1,0.1,0.2,.055,-2.1,-1.4,-3.5,-0.1,0.05364197329328414
341,Jordan McRae,SG,27,WAS,0.32098765432098764,0.0,0.21296296296296294,0.19591836734693877,.469,0.07843137254901962,0.0984848484848485,.286,0.2043010752688172,0.21212121212121213,.537,.508,0.10309278350515465,0.11818181818181818,0.8,0.037037037037037035,0.11711711711711713,0.09615384615384616,0.10280373831775702,0.20833333333333334,0.1111111111111111,0.12,0.25,0.1634349030470914,14.3,.550,.269,.269,1.9,11.3,6.5,13.2,1.8,1.8,9.4,20.4,0.3,0.2,0.5,.066,-0.9,-0.8,-1.7,0.0,0.11208331972966797
342,Jodie Meeks,SG,31,TOR,0.08641975308641975,0.0,0.24074074074074073,0.2,.538,0.19607843137254904,0.17424242424242423,.444,0.17204301075268816,0.1575757575757576,.619,.641,0.010309278350515465,0.009090909090909092,1.0,0.018518518518518517,0.12612612612612611,0.09615384615384616,0.09345794392523366,0.04166666666666667,0.037037037037037035,0.06,0.15,0.1772853185595568,16.0,.647,.462,.026,1.1,11.1,6.2,11.5,0.5,0.8,4.8,17.1,0.2,0.1,0.3,.153,1.4,-0.8,0.5,0.1,0.03754611642560972
343,Salah Mejri,C,32,DAL,0.43209876543209874,0.04878048780487805,0.13888888888888887,0.12653061224489795,.491,0.058823529411764705,0.06818181818181819,.324,0.12903225806451613,0.13333333333333333,.564,.540,0.061855670103092786,0.08181818181818182,0.625,0.18518518518518517,0.23423423423423426,0.23076923076923078,0.09345794392523366,0.125,0.25925925925925924,0.12,0.375,0.10803324099722991,16.1,.559,.304,.286,9.7,25.3,17.6,13.2,1.2,5.5,14.3,15.8,0.5,0.6,1.1,.136,-1.1,1.9,0.8,0.3,0.13323974011557674
344,De'Anthony Melton,PG,20,PHO,0.6049382716049383,0.3780487804878049,0.18518518518518517,0.20816326530612245,.391,0.11764705882352941,0.14393939393939395,.305,0.15053763440860213,0.19393939393939394,.441,.447,0.04123711340206186,0.05454545454545454,0.75,0.09259259259259259,0.19819819819819823,0.1730769230769231,0.2990654205607477,0.5833333333333334,0.18518518518518517,0.3,0.575,0.13850415512465372,9.9,.466,.371,.109,2.8,12.5,7.5,22.3,3.3,1.9,21.8,15.0,-0.8,0.8,0.0,.002,-3.8,1.1,-2.7,-0.2,0.32704299846550655
345,Chimezie Metu,PF,21,SAS,0.345679012345679,0.0,0.06481481481481481,0.08163265306122448,.328,0.0,0.007575757575757577,.000,0.07526881720430106,0.11515151515151514,.339,.328,0.04123711340206186,0.05454545454545454,0.765,0.05555555555555555,0.08108108108108109,0.07692307692307693,0.03738317757009346,0.08333333333333334,0.037037037037037035,0.1,0.125,0.04986149584487535,6.4,.389,.034,.293,6.8,20.1,13.5,12.0,2.0,1.2,18.6,24.4,-0.5,0.2,-0.3,-0.099,-7.3,-1.4,-8.7,-0.2,0.04832021939991511
346,Khris Middleton,SF,27,MIL,0.9382716049382716,0.9390243902439024,0.611111111111111,0.6081632653061224,.441,0.45098039215686275,0.4696969696969697,.378,0.45161290322580644,0.5333333333333333,.485,.519,0.288659793814433,0.3090909090909091,0.837,0.1111111111111111,0.4774774774774775,0.38461538461538464,0.40186915887850466,0.4166666666666667,0.037037037037037035,0.45999999999999996,0.55,0.5069252077562327,16.5,.558,.413,.225,2.3,16.5,9.8,20.1,1.6,0.2,12.1,25.1,2.5,3.6,6.1,.123,0.7,0.1,0.8,1.7,0.7907865095171243
