Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP
87,Omri Casspi,SF,26,SAC,67,19,3.1,6.4,.489,0.5,1.3,.402,2.6,5.1,.512,.530,2.1,2.9,.733,0.8,3.1,3.9,1.5,0.5,0.1,1.3,1.6,8.9,14.4,.580,.204,.447,4.5,15.9,10.4,11.8,1.1,0.5,14.7,18.7,2.0,0.6,2.7,.091,0.3,-1.1,-0.8,0.4,718.55
88,Mario Chalmers,PG,28,MIA,80,37,3.3,8.3,.403,0.9,3.1,.294,2.4,5.2,.467,.458,2.6,3.3,.774,0.3,2.3,2.6,3.8,1.5,0.1,2.2,3.1,10.2,11.7,.521,.374,.401,1.2,9.0,5.2,21.0,2.7,0.4,18.2,18.9,0.8,2.0,2.8,.056,-2.6,0.1,-2.5,-0.3,1198.8
89,Tyson Chandler,C,32,DAL,75,75,3.9,5.9,.666,0.0,0.0,0,3.9,5.9,.666,.666,2.5,3.4,.720,3.9,7.6,11.5,1.1,0.6,1.2,1.4,2.3,10.3,20.1,.697,.000,.584,14.1,27.4,20.7,5.3,0.9,3.2,16.0,12.8,7.2,3.1,10.3,.216,2.4,0.2,2.6,2.7,1158.25
90,Wilson Chandler,SF,27,DEN,78,75,5.4,12.5,.429,1.8,5.2,.342,3.6,7.3,.490,.500,1.4,1.8,.775,1.2,4.9,6.1,1.7,0.7,0.4,1.4,3.0,13.9,13.2,.523,.416,.146,4.1,17.2,10.4,8.9,1.2,0.9,9.6,20.1,2.1,1.5,3.6,.071,0.2,-0.7,-0.6,0.9,1251.35
91,Will Cherry,PG,23,CLE,8,0,0.6,2.4,.263,0.3,1.1,.222,0.4,1.3,.300,.316,0.4,0.8,.500,0.1,0.5,0.6,1.0,0.8,0.1,0.5,1.3,1.9,5.8,.347,.474,.316,1.7,6.6,4.2,16.4,4.5,1.1,15.6,16.8,-0.1,0.1,0.0,-0.021,-7.5,1.5,-6.0,-0.1,38.8
92,Patrick Christopher,SG,26,UTA,4,1,0.8,3.0,.250,0.0,1.0,.000,0.8,2.0,.375,.250,0.0,0.0,0,0.5,1.0,1.5,0.0,0.3,0.0,0.3,1.5,1.5,-2.6,.250,.333,.000,8.0,15.9,12.0,0.0,1.8,0.0,7.7,20.6,-0.1,0.0,-0.1,-0.150,-13.0,-2.0,-15.0,-0.1,18.15
93,Earl Clark,PF,27,BRK,10,0,1.1,3.0,.367,0.4,1.4,.286,0.7,1.6,.438,.433,0.1,0.4,.250,0.1,2.2,2.3,0.3,0.3,0.4,0.6,1.2,2.7,6.7,.425,.467,.133,1.2,26.5,13.9,5.0,1.7,3.5,15.9,18.5,-0.2,0.1,-0.1,-0.037,-6.4,-0.1,-6.5,-0.1,51.15
94,Ian Clark,SG,23,UTA,23,0,0.7,1.9,.341,0.4,1.1,.360,0.3,0.8,.316,.443,0.2,0.2,1.000,0.2,0.4,0.6,0.4,0.3,0.1,0.3,0.5,1.9,8.3,.476,.568,.114,2.9,6.4,4.7,9.7,2.0,1.0,13.2,15.1,0.0,0.1,0.1,.044,-2.3,-0.3,-2.6,0.0,84.0
94,Ian Clark,SG,23,DEN,7,0,0.6,1.6,.364,0.1,0.7,.200,0.4,0.9,.500,.409,0.6,0.6,1.000,0.0,0.4,0.4,0.3,0.4,0.1,0.3,1.1,1.9,11.6,.509,.455,.364,0.0,10.8,5.2,9.9,4.8,2.5,13.6,20.6,0.0,0.0,0.1,.083,-6.7,1.7,-5.0,0.0,17.7
95,Jordan Clarkson,PG,22,LAL,59,38,4.5,10.1,.448,0.6,2.1,.314,3.9,8.1,.482,.480,2.2,2.7,.829,0.9,2.3,3.2,3.5,0.9,0.2,1.6,1.8,11.9,16.9,.528,.203,.265,4.0,10.5,7.1,23.8,1.8,0.7,12.6,23.0,2.0,0.4,2.4,.078,1.2,-0.9,0.2,0.8,750.5
96,Victor Claver,SF,26,POR,10,0,0.9,2.0,.450,0.6,1.1,.545,0.3,0.9,.333,.600,0.0,0.0,0,0.3,1.7,2.0,0.1,0.1,0.1,0.4,1.2,2.4,9.2,.600,.550,.000,4.3,23.5,14.1,1.9,0.7,0.9,16.7,14.1,0.0,0.1,0.1,.086,-3.5,0.3,-3.2,0.0,41.8
97,Norris Cole,PG,26,MIA,47,23,2.5,6.5,.386,0.6,2.2,.265,1.9,4.3,.446,.430,0.7,1.0,.696,0.3,2.0,2.3,3.5,0.9,0.2,1.2,1.6,6.3,9.9,.452,.333,.150,1.3,9.8,5.7,22.9,1.9,0.6,15.1,15.7,-0.1,0.8,0.6,.027,-2.6,-0.4,-3.0,-0.3,586.2
97,Norris Cole,PG,26,NOP,28,2,4.0,9.0,.444,1.0,2.6,.378,3.0,6.4,.472,.500,0.9,1.3,.743,0.0,1.8,1.8,3.2,0.5,0.3,1.5,1.8,9.9,12.6,.520,.294,.139,0.2,8.3,4.2,21.2,1.2,0.8,13.3,20.6,0.5,0.3,0.7,.052,-1.1,-1.2,-2.4,0.0,353.7
98,Darren Collison,PG,27,SAC,45,45,5.8,12.2,.473,1.3,3.6,.373,4.4,8.6,.514,.527,3.2,4.1,.788,0.4,2.8,3.2,5.6,1.5,0.3,2.5,2.1,16.1,17.5,.575,.293,.335,1.4,8.7,5.2,27.2,2.2,0.7,15.1,20.9,3.0,0.8,3.8,.116,2.3,-0.2,2.1,1.6,799.9
99,Nick Collison,PF,34,OKC,66,2,1.6,3.8,.419,0.2,0.9,.267,1.4,2.9,.466,.451,0.7,1.0,.692,1.4,2.4,3.8,1.4,0.5,0.4,0.7,2.4,4.1,11.2,.485,.237,.257,8.9,15.3,12.2,11.6,1.6,1.8,13.8,12.8,1.0,1.2,2.2,.097,-1.9,0.9,-1.0,0.3,558.85
100,Mike Conley,PG,27,MEM,70,70,5.6,12.6,.446,1.5,4.0,.386,4.1,8.6,.473,.506,3.1,3.6,.859,0.4,2.6,3.0,5.4,1.3,0.2,2.2,2.0,15.8,18.6,.558,.314,.282,1.5,9.2,5.4,28.0,2.1,0.5,13.6,23.7,4.2,2.7,6.8,.147,2.6,0.2,2.8,2.7,1128.4
