Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
Randy Foye,SG,139.0,33.0,0.8395061728395061,0.4878048780487805,0.1650485436893203,0.1958333333333333,0.363,0.2439024390243902,0.29,0.33,0.0721649484536082,0.09375,0.418,0.466,0.0869565217391304,0.0825688073394495,0.857,0.0232558139534883,0.203883495145631,0.1560283687943262,0.1785714285714285,0.25,0.0166666666666666,0.2105263157894736,0.3181818181818181,0.1645569620253164,7.3,0.506,0.625,0.194,0.8,11.9,6.4,15.2,1.3,0.5,18.5,14.4,-0.6,0.7,0.2,0.006,-3.7,-0.7,-4.4,-0.8,0.4218344577062792,0.549,1.03
Channing Frye,C,142.0,33.0,0.9012345679012346,0.1829268292682926,0.3106796116504854,0.2916666666666667,0.458,0.4634146341463415,0.45,0.409,0.1443298969072165,0.1302083333333333,0.546,0.589,0.0978260869565217,0.091743119266055,0.851,0.1162790697674418,0.3300970873786407,0.2765957446808511,0.0535714285714285,0.2,0.0833333333333333,0.1228070175438596,0.4318181818181817,0.2879746835443038,15.6,0.612,0.644,0.142,3.0,19.3,11.4,4.9,1.2,2.1,8.8,19.3,2.3,1.4,3.7,0.125,1.4,-0.4,1.0,1.1,0.4589063310845875,0.622,5.23
Langston Galloway,PG,144.0,25.0,0.4444444444444444,0.0121951219512195,0.2524271844660194,0.28124999999999994,0.389,0.34146341463414637,0.35,0.426,0.1237113402061855,0.1692708333333333,0.3645,0.492,0.07065217391304345,0.06880733944954126,0.843,0.0930232558139535,0.1601941747572815,0.14184397163120566,0.12053571428571425,0.25,0.0166666666666666,0.1228070175438596,0.28409090909090906,0.231012658227848,9.6,0.515,0.4965,0.11649999999999999,2.05,9.05,5.550000000000001,10.0,1.25,0.30000000000000004,9.9,17.45,0.1,0.55,0.65,0.0295,-1.9,-1.1500000000000001,-3.1,-0.09999999999999999,0.248297223663726,0.5485,1.9649999999999999
Alonzo Gee,SF,150.0,29.0,0.1481481481481481,0.0,0.0194174757281553,0.0458333333333333,0.214,0.0,0.02,0.0,0.0206185567010309,0.0416666666666666,0.273,0.214,0.0434782608695652,0.0642201834862385,0.556,0.0697674418604651,0.0776699029126213,0.0851063829787234,0.0446428571428571,0.2,0.0166666666666666,0.0526315789473684,0.25,0.0253164556962025,3.1,0.306,0.214,0.643,5.0,13.5,9.3,8.2,2.7,0.9,18.2,10.5,-0.1,0.1,-0.1,-0.032,-7.5,0.7,-6.7,-0.1,0.0304229372080954,0.646,3.04
Marcus Georges-Hunt,SG,152.0,22.0,0.0493827160493827,0.0,0.0388349514563106,0.0583333333333333,0.286,0.048780487804878,0.04,0.5,0.0206185567010309,0.0520833333333333,0.2,0.357,0.1956521739130435,0.18348623853211,0.9,0.0465116279069767,0.1553398058252427,0.1276595744680851,0.0535714285714285,0.1,0.0,0.0701754385964912,0.2272727272727272,0.0886075949367088,10.2,0.614,0.286,1.429,2.2,18.7,10.2,8.3,1.0,0.0,14.9,12.3,0.1,0.0,0.1,0.107,-4.0,-0.5,-4.5,0.0,0.018033212247016,0.415,-2.39
Jonathan Gibson,PG,153.0,29.0,0.1975308641975308,0.0,0.203883495145631,0.2333333333333333,0.368,0.2195121951219512,0.26,0.333,0.1237113402061855,0.1510416666666666,0.4,0.447,0.1304347826086956,0.1559633027522935,0.724,0.0232558139534883,0.116504854368932,0.0921985815602837,0.1339285714285714,0.25,0.0,0.2105263157894736,0.2727272727272727,0.1962025316455696,9.5,0.492,0.474,0.305,0.5,11.1,5.5,18.8,1.8,0.0,16.3,26.3,-0.3,0.2,-0.1,-0.03,-3.1,-0.7,-3.7,-0.1,0.0786844836533471,0.463,-0.14
Taj Gibson,PF,154.0,31.0,0.2716049382716049,0.1951219512195122,0.378640776699029,0.325,0.497,0.0,0.0,1.0,0.3917525773195876,0.4010416666666667,0.494,0.5,0.1304347826086956,0.1559633027522935,0.718,0.3953488372093023,0.2718446601941747,0.3191489361702128,0.0535714285714285,0.3,0.1166666666666666,0.2105263157894736,0.3863636363636363,0.2848101265822784,13.8,0.528,0.006,0.218,8.6,14.8,11.7,4.2,1.4,2.5,12.5,19.5,0.2,0.6,0.8,0.076,-1.7,-0.9,-2.5,-0.1,0.1641800726517903,0.488,0.96
Archie Goodwin,SG,157.0,22.0,0.1358024691358024,0.0,0.2718446601941747,0.2125,0.557,0.073170731707317,0.11,0.308,0.2577319587628866,0.2083333333333333,0.625,0.59,0.2065217391304347,0.2477064220183486,0.719,0.1395348837209302,0.174757281553398,0.1631205673758865,0.1696428571428571,0.15,0.0499999999999999,0.2105263157894736,0.1363636363636363,0.25,18.6,0.633,0.213,0.525,4.1,11.9,8.1,20.8,1.0,1.6,15.7,20.7,0.4,0.1,0.5,0.131,2.0,-0.4,1.6,0.2,0.0639919564089258,0.549,1.03
Aaron Gordon,SF,158.0,21.0,0.9753086419753086,0.8780487804878049,0.4757281553398058,0.45,0.454,0.2439024390243902,0.3299999999999999,0.288,0.4123711340206186,0.390625,0.528,0.499,0.2173913043478261,0.2477064220183486,0.719,0.3488372093023256,0.3495145631067961,0.3617021276595744,0.1696428571428571,0.4,0.0833333333333333,0.1929824561403509,0.5,0.4018987341772151,14.5,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2.0,1.7,3.7,0.077,-0.3,-0.7,-1.0,0.6,0.7539893617021276,0.415,-2.39
Jerian Grant,PG,163.0,24.0,0.7654320987654321,0.3414634146341463,0.1941747572815534,0.1999999999999999,0.425,0.1951219512195122,0.21,0.366,0.134020618556701,0.140625,0.473,0.507,0.108695652173913,0.110091743119266,0.89,0.0697674418604651,0.145631067961165,0.1276595744680851,0.1696428571428571,0.35,0.0166666666666666,0.1228070175438596,0.3409090909090909,0.1867088607594936,13.2,0.555,0.445,0.243,1.8,9.9,5.8,17.4,2.3,0.6,11.7,16.0,1.4,1.2,2.5,0.119,-1.3,1.4,0.1,0.6,0.3380578619615983,0.488,1.37
